上位のページ,クリック数,表示回数,CTR,掲載順位
https://folderlyapp.com/blog/folder-icon-not-changing/,164,1868,8.78%,5.83
https://folderlyapp.com/en/blog/folder-icon-not-changing/,22,1094,2.01%,7.99
https://folderlyapp.com/,8,522,1.53%,7.02
https://folderlyapp.com/en/blog/windows-folder-icon-change/,5,342,1.46%,13.78
https://folderlyapp.com/en/,3,125,2.4%,15.57
https://folderlyapp.com/blog/windows-folder-icon-change/,1,93,1.08%,9.4
https://folderlyapp.com/blog/folder-icon-not-changing/#cache,0,499,0%,3.98
https://folderlyapp.com/blog/folder-icon-not-changing/#revert,0,491,0%,3.96
https://folderlyapp.com/blog/folder-icon-not-changing/#causes,0,433,0%,4.02
https://folderlyapp.com/blog/folder-icon-not-changing/#format,0,167,0%,4.39
https://folderlyapp.com/en/blog/folder-icon-not-changing/#cache,0,156,0%,7.77
https://folderlyapp.com/en/blog/folder-icon-not-changing/#causes,0,103,0%,7.5
https://folderlyapp.com/en/blog/folder-icon-not-changing/#format,0,60,0%,7.58
https://folderlyapp.com/en/blog/folder-icon-not-changing/#revert,0,47,0%,8.43
