国,クリック数,表示回数,CTR,掲載順位
日本,170,2464,6.9%,6.19
米国,7,342,2.05%,10.47
サウジアラビア,3,23,13.04%,13.13
イギリス,2,91,2.2%,11.7
香港,2,10,20%,5.5
アルバニア,2,9,22.22%,4.33
インド,1,82,1.22%,9.2
パキスタン,1,32,3.12%,9.88
オランダ,1,28,3.57%,9.68
ニュージーランド,1,18,5.56%,16.72
南アフリカ,1,17,5.88%,9.71
トルコ,1,15,6.67%,13.93
シンガポール,1,14,7.14%,6.57
韓国,1,11,9.09%,5
リトアニア,1,11,9.09%,6.73
アラブ首長国連邦,1,10,10%,8.9
ノルウェー,1,8,12.5%,9.25
スリランカ,1,7,14.29%,6.14
イタリア,1,7,14.29%,7.57
ハンガリー,1,4,25%,6.5
カタール,1,4,25%,7.5
パナマ,1,2,50%,6.5
フィリピン,0,118,0%,7.85
ベトナム,0,96,0%,12.58
カナダ,0,63,0%,8.86
オーストラリア,0,55,0%,7.07
インドネシア,0,31,0%,10.97
タイ,0,29,0%,8.45
ドイツ,0,22,0%,6.77
マレーシア,0,21,0%,12.43
バングラディッシュ,0,20,0%,19.1
ブラジル,0,17,0%,13.35
メキシコ,0,17,0%,15.82
ルーマニア,0,16,0%,6.19
ポーランド,0,16,0%,7.88
ウクライナ,0,16,0%,11
ロシア,0,16,0%,12.88
エジプト,0,15,0%,6.6
スペイン,0,14,0%,10.57
フランス,0,14,0%,11.5
台湾,0,11,0%,7.18
ヨルダン,0,11,0%,12.09
イスラエル,0,10,0%,6.7
スウェーデン,0,9,0%,6.89
モロッコ,0,9,0%,14.44
ベルギー,0,8,0%,6.38
ギリシャ,0,7,0%,6.29
イラン,0,6,0%,6
アイルランド,0,6,0%,6.33
フィンランド,0,6,0%,6.5
デンマーク,0,6,0%,7.17
チェキア,0,6,0%,9
スイス連邦,0,6,0%,9.17
イラク,0,6,0%,9.17
ポルトガル,0,5,0%,6.2
アルゼンチン,0,5,0%,16.8
キプロス,0,4,0%,4.5
アフガニスタン,0,4,0%,6.25
クウェート,0,4,0%,6.5
セルビア,0,4,0%,8.25
グルジア,0,4,0%,9.5
コロンビア,0,4,0%,11
チュニジア,0,4,0%,12.75
ウルグアイ,0,3,0%,3.33
ラトビア,0,3,0%,4.67
中国,0,3,0%,6
ベネズエラ,0,3,0%,6.33
バーレーン,0,3,0%,7
クロアチア,0,3,0%,7
シリア,0,3,0%,17.33
アルジェリア,0,3,0%,20.67
ナイジェリア,0,2,0%,3.5
ルクセンブルグ,0,2,0%,5
アルメニア,0,2,0%,6
モルドバ,0,2,0%,6
ボスニア・ヘルツェゴビナ,0,2,0%,7
オマーン,0,2,0%,7
プエルトリコ,0,2,0%,8.5
エクアドル,0,2,0%,21
不明な地域,0,1,0%,1
アルバ,0,1,0%,4
チリ,0,1,0%,4
レバノン,0,1,0%,4
リビア,0,1,0%,4
ブルガリア,0,1,0%,5
エチオピア,0,1,0%,5
ホンジュラス,0,1,0%,5
アイスランド,0,1,0%,5
マルタ,0,1,0%,5
モンテネグロ,0,1,0%,5
マカオ,0,1,0%,6
ナミビア,0,1,0%,6
ニカラグア,0,1,0%,6
スロベニア,0,1,0%,6
ベラルーシ,0,1,0%,7
コスタリカ,0,1,0%,7
ケニア,0,1,0%,7
モーリシャス,0,1,0%,7
マラウイ,0,1,0%,7
トリニダード・トバゴ,0,1,0%,7
モルディブ,0,1,0%,8
エストニア,0,1,0%,9
ジャージー,0,1,0%,9
マケドニア,0,1,0%,9
トーゴ,0,1,0%,9
グレナダ,0,1,0%,10
ジャマイカ,0,1,0%,10
カザフスタン,0,1,0%,10
マダガスカル,0,1,0%,10
ベリーズ,0,1,0%,11
ガーナ,0,1,0%,11
ソマリア,0,1,0%,11
モンゴル,0,1,0%,14
ドミニカ,0,1,0%,45
