日付,クリック数,表示回数,CTR,掲載順位
2026-05-31,0,0,,
2026-06-01,0,10,0%,6.8
2026-06-02,4,28,14.29%,8.4
2026-06-03,2,40,5%,7.4
2026-06-04,0,62,0%,12.3
2026-06-05,0,41,0%,8.9
2026-06-06,2,44,4.55%,9.9
2026-06-07,2,40,5%,8
2026-06-08,1,30,3.33%,7.7
2026-06-09,2,55,3.64%,10.8
2026-06-10,8,98,8.16%,8.2
2026-06-11,5,80,6.25%,7.4
2026-06-12,0,42,0%,8.6
2026-06-13,0,19,0%,9.6
2026-06-14,2,43,4.65%,7.6
2026-06-15,1,22,4.55%,9.2
2026-06-16,3,32,9.38%,15.5
2026-06-17,1,30,3.33%,8.8
2026-06-18,4,38,10.53%,13.9
2026-06-19,0,24,0%,9.8
2026-06-20,1,9,11.11%,10.4
2026-06-21,1,17,5.88%,11.1
2026-06-22,2,16,12.5%,10.1
2026-06-23,0,21,0%,10.3
2026-06-24,1,33,3.03%,8.4
2026-06-25,0,25,0%,8
2026-06-26,6,36,16.67%,8.4
2026-06-27,1,36,2.78%,6.3
2026-06-28,5,74,6.76%,6.1
2026-06-29,5,69,7.25%,5.5
2026-06-30,3,73,4.11%,5
2026-07-01,10,87,11.49%,5.8
2026-07-02,6,70,8.57%,5.9
2026-07-03,1,54,1.85%,6.8
2026-07-04,1,46,2.17%,8.8
2026-07-05,5,58,8.62%,6.1
2026-07-06,2,65,3.08%,8.9
2026-07-07,6,81,7.41%,6.3
2026-07-08,4,70,5.71%,6.9
2026-07-09,5,78,6.41%,7.2
2026-07-10,3,101,2.97%,9.8
2026-07-11,0,77,0%,13
2026-07-12,7,101,6.93%,8.6
2026-07-13,7,109,6.42%,7.4
2026-07-14,3,90,3.33%,8.1
2026-07-15,5,97,5.15%,6.1
2026-07-16,8,96,8.33%,5.7
2026-07-17,4,70,5.71%,5.3
2026-07-18,4,67,5.97%,6.3
2026-07-19,1,68,1.47%,7.9
2026-07-20,9,142,6.34%,6.7
2026-07-21,5,127,3.94%,6.3
2026-07-22,7,163,4.29%,6
2026-07-23,10,155,6.45%,6.2
2026-07-24,4,130,3.08%,8.2
2026-07-25,3,107,2.8%,9.5
2026-07-26,3,133,2.26%,7.5
2026-07-27,8,199,4.02%,7.2
2026-07-28,9,197,4.57%,6.6
